"","state","cases.7days","CENSUS2010POP","POPESTIMATE2019","incidence_7days"
"1","Alabama",9348,4779736,4903185,190.651586672744
"2","Alaska",453,710231,731545,61.9237367489355
"3","Arizona",3421,6392017,7278717,47.0000413534418
"4","Arkansas",4330,2915918,3017804,143.481816579208
"5","California",35470,37253956,39512223,89.7696897489164
"6","Colorado",2083,5029196,5758736,36.1711319984108
"7","Connecticut",868,3574097,3565287,24.3458661252236
"8","Delaware",696,897934,973764,71.4752239762406
"9","Florida",20118,18801310,21477737,93.669086272916
"10","Georgia",14218,9687653,10617423,133.911967150598
"11","Hawaii",1567,1360301,1415872,110.673846223387
"12","Idaho",2018,1567582,1787065,112.922585356436
"13","Illinois",13518,12830632,12671821,106.677643252694
"14","Indiana",6604,6483802,6732219,98.0954422308603
"15","Iowa",8192,3046355,3155070,259.645586310288
"16","Kansas",4211,2853118,2913314,144.543293307896
"17","Kentucky",4497,4339367,4467673,100.656426734902
"18","Louisiana",5328,4533372,4648794,114.610369915294
"19","Maine",180,1328361,1344212,13.3907449122609
"20","Maryland",3817,5773552,6045680,63.1359913194215
"21","Massachusetts",2363,6547629,6892503,34.2836267173188
"22","Michigan",5339,9883640,9986857,53.4602628234288
"23","Minnesota",5157,5303925,5639632,91.4421366500509
"24","Mississippi",5179,2967297,2976149,174.016825098475
"25","Missouri",8753,5988927,6137428,142.61674434307
"26","Montana",870,989415,1068778,81.401376151081
"27","Nebraska",2240,1826341,1934408,115.797701415627
"28","Nevada",3209,2700551,3080156,104.183034885246
"29","New Hampshire",141,1316470,1359711,10.3698506520871
"30","New Jersey",2241,8791894,8882190,25.2302641578259
"31","New Mexico",883,2059179,2096829,42.111206970144
"32","New York",4448,19378102,19453561,22.8647084202219
"33","North Carolina",10917,9535483,10488084,104.089555346811
"34","North Dakota",1771,672591,762062,232.395789318979
"35","Ohio",7506,11536504,11689100,64.2136691447588
"36","Oklahoma",6020,3751351,3956971,152.136571129786
"37","Oregon",1558,3831074,4217737,36.9392401659942
"38","Pennsylvania",4551,12702379,12801989,35.5491634932666
"39","Rhode Island",647,1052567,1059361,61.0745534336265
"40","South Carolina",6441,4625364,5148714,125.099199528271
"41","South Dakota",2084,814180,884659,235.570994021425
"42","Tennessee",10329,6346105,6829174,151.24815973352
"43","Texas",32585,25145561,28995881,112.378030520956
"44","Utah",2739,2763885,3205958,85.4346813027495
"45","Vermont",63,625741,623989,10.0963318263623
"46","Virginia",6979,8001024,8535519,81.7642137519699
"47","Washington",3264,6724540,7614893,42.8633731294714
"48","West Virginia",938,1852994,1792147,52.3394565289566
"49","Wisconsin",4949,5686986,5822434,84.9988166460968
"50","Wyoming",239,563626,578759,41.2952541558749
