"","state_abrv","date","positive","positiveIncrease","positiveIncrease2","positiveCasesViral","positivePCRincrease","negative","negativePCRincrease","PCRincrease","pct_positive","state","CENSUS2010POP","POPESTIMATE2019","newcase_incidence","PCR_incidence","newcase_7MA","PCR_7MA","positivity_7MA","date_fmt"
"1","AZ",20200304,2,0,2,NA,0,27,27,27,0,"Arizona",6392017,7278717,0.0274773699815503,0.370944494750929,NA,NA,NA,2020-03-04
"2","TX",20200304,1,0,1,1,1,NA,NA,NA,NA,"Texas",25145561,28995881,0.00344876570572213,NA,NA,NA,NA,2020-03-04
"3","NE",20200305,0,0,0,NA,0,17,17,17,0,"Nebraska",1826341,1934408,0,0.87882184110074,NA,NA,NA,2020-03-05
"4","AZ",20200305,2,0,0,NA,0,28,1,1,0,"Arizona",6392017,7278717,0,0.0137386849907752,NA,NA,NA,2020-03-05
"5","TX",20200305,1,0,0,1,0,NA,NA,NA,NA,"Texas",25145561,28995881,0,NA,NA,NA,NA,2020-03-05
"6","CO",20200305,0,0,0,NA,0,19,19,19,0,"Colorado",5029196,5758736,0,0.329933513187616,NA,NA,NA,2020-03-05
"7","TX",20200306,5,4,4,5,4,NA,NA,NA,NA,"Texas",25145561,28995881,0.0137950628228885,NA,NA,NA,NA,2020-03-06
"8","KS",20200306,0,0,0,NA,0,4,4,4,0,"Kansas",2853118,2913314,0,0.137300682315741,NA,NA,NA,2020-03-06
"9","NE",20200306,0,0,0,NA,0,17,0,0,NA,"Nebraska",1826341,1934408,0,0,NA,NA,NA,2020-03-06
"10","NM",20200306,0,0,0,NA,0,16,16,16,0,"New Mexico",2059179,2096829,0,0.763056977941454,NA,NA,NA,2020-03-06
"11","CO",20200306,2,2,2,NA,2,46,27,29,6.89655172413793,"Colorado",5029196,5758736,0.0347298434934333,0.503582730654783,NA,NA,NA,2020-03-06
"12","AZ",20200306,3,1,1,NA,1,33,5,6,16.6666666666667,"Arizona",6392017,7278717,0.0137386849907752,0.082432109944651,NA,NA,NA,2020-03-06
"13","KS",20200307,0,0,0,NA,0,11,7,7,0,"Kansas",2853118,2913314,0,0.240276194052546,NA,NA,NA,2020-03-07
"14","NE",20200307,1,1,1,NA,1,17,0,1,100,"Nebraska",1826341,1934408,0.0516954024176906,0.0516954024176906,NA,NA,NA,2020-03-07
"15","NM",20200307,0,0,0,NA,0,48,32,32,0,"New Mexico",2059179,2096829,0,1.52611395588291,NA,NA,NA,2020-03-07
"16","OK",20200307,1,0,1,NA,0,NA,NA,NA,NA,"Oklahoma",3751351,3956971,0.0252718556693996,NA,NA,NA,NA,2020-03-07
"17","CO",20200307,8,6,6,NA,6,55,9,15,40,"Colorado",5029196,5758736,0.1041895304803,0.26047382620075,NA,NA,NA,2020-03-07
"18","AZ",20200307,5,2,2,NA,2,44,11,13,15.3846153846154,"Arizona",6392017,7278717,0.0274773699815503,0.178602904880077,NA,NA,NA,2020-03-07
"19","WY",20200307,0,0,0,NA,0,NA,NA,NA,NA,"Wyoming",563626,578759,0,NA,NA,NA,NA,2020-03-07
"20","TX",20200307,8,3,3,8,3,NA,NA,NA,NA,"Texas",25145561,28995881,0.0103462971171664,NA,NA,NA,NA,2020-03-07
"21","UT",20200307,1,0,1,1,1,NA,NA,NA,NA,"Utah",2763885,3205958,0.0311919245355055,NA,NA,NA,NA,2020-03-07
"22","KS",20200308,1,1,1,NA,1,11,0,1,100,"Kansas",2853118,2913314,0.0343251705789352,0.0343251705789352,NA,NA,NA,2020-03-08
"23","NE",20200308,1,0,0,NA,0,17,0,0,NA,"Nebraska",1826341,1934408,0,0,NA,NA,NA,2020-03-08
"24","NM",20200308,0,0,0,NA,0,48,0,0,NA,"New Mexico",2059179,2096829,0,0,NA,NA,NA,2020-03-08
"25","CO",20200308,8,0,0,NA,0,104,49,49,0,"Colorado",5029196,5758736,0,0.850881165589115,NA,NA,NA,2020-03-08
"26","OK",20200308,1,0,0,NA,0,8,NA,NA,NA,"Oklahoma",3751351,3956971,0,NA,NA,NA,NA,2020-03-08
"27","AZ",20200308,5,0,0,NA,0,44,0,0,NA,"Arizona",6392017,7278717,0,0,NA,NA,NA,2020-03-08
"28","WY",20200308,0,0,0,NA,0,NA,NA,NA,NA,"Wyoming",563626,578759,0,NA,NA,NA,NA,2020-03-08
"29","TX",20200308,8,0,0,8,0,NA,NA,NA,NA,"Texas",25145561,28995881,0,NA,NA,NA,NA,2020-03-08
"30","UT",20200308,1,0,0,1,0,NA,NA,NA,NA,"Utah",2763885,3205958,0,NA,NA,NA,NA,2020-03-08
"31","KS",20200309,1,0,0,NA,0,11,0,0,NA,"Kansas",2853118,2913314,0,0,NA,NA,NA,2020-03-09
"32","NE",20200309,3,2,2,NA,2,36,19,21,9.52380952380952,"Nebraska",1826341,1934408,0.103390804835381,1.0856034507715,NA,NA,NA,2020-03-09
"33","NM",20200309,0,0,0,NA,0,57,9,9,0,"New Mexico",2059179,2096829,0,0.429219550092068,NA,NA,NA,2020-03-09
"34","OK",20200309,1,0,0,NA,0,8,0,0,NA,"Oklahoma",3751351,3956971,0,0,NA,NA,NA,2020-03-09
"35","CO",20200309,9,1,1,NA,1,133,29,30,3.33333333333333,"Colorado",5029196,5758736,0.0173649217467166,0.520947652401499,NA,NA,NA,2020-03-09
"36","AZ",20200309,5,0,0,NA,0,44,0,0,NA,"Arizona",6392017,7278717,0,0,NA,NA,NA,2020-03-09
"37","TX",20200309,12,4,4,12,4,NA,NA,NA,NA,"Texas",25145561,28995881,0.0137950628228885,NA,NA,NA,NA,2020-03-09
"38","WY",20200309,0,0,0,NA,0,NA,NA,NA,NA,"Wyoming",563626,578759,0,NA,NA,NA,NA,2020-03-09
"39","UT",20200309,1,0,0,1,0,NA,NA,NA,NA,"Utah",2763885,3205958,0,NA,NA,NA,NA,2020-03-09
"40","KS",20200310,1,0,0,NA,0,17,6,6,0,"Kansas",2853118,2913314,0,0.205951023473611,NA,NA,NA,2020-03-10
"41","NE",20200310,3,0,0,NA,0,47,11,11,0,"Nebraska",1826341,1934408,0,0.568649426594596,NA,NA,NA,2020-03-10
"42","NM",20200310,0,0,0,NA,0,69,12,12,0,"New Mexico",2059179,2096829,0,0.57229273345609,NA,NA,NA,2020-03-10
"43","OK",20200310,2,1,1,NA,1,15,7,8,12.5,"Oklahoma",3751351,3956971,0.0252718556693996,0.202174845355197,NA,NA,NA,2020-03-10
"44","CO",20200310,12,3,3,NA,3,142,9,12,25,"Colorado",5029196,5758736,0.0520947652401499,0.2083790609606,NA,NA,NA,2020-03-10
"45","AZ",20200310,6,1,1,NA,1,51,7,8,12.5,"Arizona",6392017,7278717,0.0137386849907752,0.109909479926201,0.0117760157063787,0.107946810641805,8.91025641025641,2020-03-10
"46","TX",20200310,13,1,1,13,1,NA,NA,NA,NA,"Texas",25145561,28995881,0.00344876570572213,NA,0.00640485059634111,NA,NA,2020-03-10
"47","UT",20200310,2,1,1,2,1,NA,NA,NA,NA,"Utah",2763885,3205958,0.0311919245355055,NA,NA,NA,NA,2020-03-10
"48","WY",20200310,0,0,0,NA,0,NA,NA,NA,NA,"Wyoming",563626,578759,0,NA,NA,NA,NA,2020-03-10
"49","KS",20200311,1,0,0,NA,0,41,24,24,0,"Kansas",2853118,2913314,0,0.823804093894445,NA,NA,NA,2020-03-11
"50","NE",20200311,5,2,2,NA,2,47,0,2,100,"Nebraska",1826341,1934408,0.103390804835381,0.103390804835381,0.0369252874412076,0.384022989388559,41.9047619047619,2020-03-11
"51","NM",20200311,3,3,3,NA,3,87,18,21,14.2857142857143,"New Mexico",2059179,2096829,0.143073183364023,1.00151228354816,NA,NA,NA,2020-03-11
"52","CO",20200311,28,16,16,NA,16,251,109,125,12.8,"Colorado",5029196,5758736,0.277838747947466,2.17061521833958,0.0694596869868666,0.692116166761992,12.575697865353,2020-03-11
"53","OK",20200311,2,0,0,NA,0,15,0,0,NA,"Oklahoma",3751351,3956971,0,0,NA,NA,NA,2020-03-11
"54","AZ",20200311,9,3,3,NA,3,59,8,11,27.2727272727273,"Arizona",6392017,7278717,0.0412160549723255,0.151125534898527,0.0137386849907752,0.0765441020914616,14.3648018648019,2020-03-11
"55","WY",20200311,0,0,0,NA,0,NA,NA,NA,NA,"Wyoming",563626,578759,0,NA,NA,NA,NA,2020-03-11
"56","TX",20200311,21,8,8,21,8,NA,NA,NA,NA,"Texas",25145561,28995881,0.0275901256457771,NA,0.00985361630206324,NA,NA,2020-03-11
"57","UT",20200311,2,0,0,2,0,NA,NA,NA,NA,"Utah",2763885,3205958,0,NA,NA,NA,NA,2020-03-11
"58","KS",20200312,4,3,3,NA,3,41,0,3,100,"Kansas",2853118,2913314,0.102975511736806,0.102975511736806,0.019614383187963,0.220661810864583,33.3333333333333,2020-03-12
"59","NE",20200312,10,5,5,NA,5,80,33,38,13.1578947368421,"Nebraska",1826341,1934408,0.258477012088453,1.96442529187224,0.0738505748824151,0.53910919664163,44.5363408521303,2020-03-12
"60","NM",20200312,5,2,2,NA,2,155,68,70,2.85714285714286,"New Mexico",2059179,2096829,0.0953821222426817,3.33837427849386,0.0340650436581006,1.09008139705922,2.85714285714286,2020-03-12
"61","OK",20200312,3,1,1,NA,1,36,21,22,4.54545454545455,"Oklahoma",3751351,3956971,0.0252718556693996,0.555980824726792,NA,NA,NA,2020-03-12
"62","CO",20200312,45,17,17,NA,17,298,47,64,26.5625,"Colorado",5029196,5758736,0.295203669694183,1.11135499178986,0.111631639800321,0.803747806562313,16.3703407224959,2020-03-12
"63","AZ",20200312,9,0,0,NA,0,82,23,23,0,"Arizona",6392017,7278717,0,0.315989754787829,0.0137386849907752,0.119722826348184,14.3648018648019,2020-03-12
"64","TX",20200312,23,2,2,23,2,NA,NA,NA,NA,"Texas",25145561,28995881,0.00689753141144427,NA,0.0108389779322696,NA,NA,2020-03-12
"65","UT",20200312,4,2,2,4,2,131,NA,NA,NA,"Utah",2763885,3205958,0.0623838490710109,NA,NA,NA,NA,2020-03-12
"66","WY",20200312,1,1,1,NA,1,NA,NA,NA,NA,"Wyoming",563626,578759,0.172783490191945,NA,NA,NA,NA,2020-03-12
"67","KS",20200313,6,2,2,NA,2,93,52,54,3.7037037037037,"Kansas",2853118,2913314,0.0686503411578704,1.8535592112625,0.0294215747819444,0.46584160071412,33.9506172839506,2020-03-13
"68","NE",20200313,13,3,3,NA,3,80,0,3,100,"Nebraska",1826341,1934408,0.155086207253072,0.155086207253072,0.0960057473471396,0.561264369106355,53.7802840434419,2020-03-13
"69","NM",20200313,10,5,5,NA,5,190,35,40,12.5,"New Mexico",2059179,2096829,0.238455305606704,1.90764244485363,0.0681300873162012,1.2535936066181,4.94047619047619,2020-03-13
"70","OK",20200313,3,0,0,NA,0,36,0,0,NA,"Oklahoma",3751351,3956971,0,0,0.0108307952868856,0.151631134016398,8.52272727272727,2020-03-13
"71","CO",20200313,72,27,27,NA,27,524,226,253,10.6719367588933,"Colorado",5029196,5758736,0.468852887161349,4.39332520191931,0.173649217467166,1.35942530245725,16.9096814417467,2020-03-13
"72","AZ",20200313,9,0,0,NA,0,94,12,12,0,"Arizona",6392017,7278717,0,0.164864219889302,0.0117760157063787,0.131498842054562,11.0314685314685,2020-03-13
"73","TX",20200313,39,16,16,39,16,NA,NA,NA,NA,"Texas",25145561,28995881,0.0551802512915541,NA,0.0167511477135075,NA,NA,2020-03-13
"74","WY",20200313,1,0,0,1,NA,NA,NA,NA,NA,"Wyoming",563626,578759,0,NA,0.0246833557417065,NA,NA,2020-03-13
"75","UT",20200313,6,2,2,6,2,131,0,2,100,"Utah",2763885,3205958,0.0623838490710109,0.0623838490710109,0.0267359353161475,0.0623838490710109,100,2020-03-13
"76","KS",20200314,6,0,0,NA,0,93,0,0,NA,"Kansas",2853118,2913314,0,0,0.0294215747819444,0.431516430135185,40.7407407407407,2020-03-14
"77","NE",20200314,14,1,1,NA,1,80,0,1,100,"Nebraska",1826341,1934408,0.0516954024176906,0.0516954024176906,0.0960057473471396,0.561264369106355,53.7802840434419,2020-03-14
"78","NM",20200314,10,0,0,NA,0,237,47,47,0,"New Mexico",2059179,2096829,0,2.24147987270302,0.0681300873162012,1.3557887375924,4.94047619047619,2020-03-14
"79","OK",20200314,4,1,1,NA,1,36,0,1,100,"Oklahoma",3751351,3956971,0.0252718556693996,0.0252718556693996,0.0108307952868856,0.130571254291898,39.0151515151515,2020-03-14
"80","CO",20200314,101,29,29,NA,29,610,86,115,25.2173913043478,"Colorado",5029196,5758736,0.503582730654783,1.99696600087241,0.230705388920664,1.60749561312463,14.7978801995106,2020-03-14
"81","AZ",20200314,12,3,3,NA,3,121,27,30,10,"Arizona",6392017,7278717,0.0412160549723255,0.412160549723255,0.0137386849907752,0.164864219889302,9.95454545454545,2020-03-14
"82","TX",20200314,51,12,12,51,12,NA,NA,NA,NA,"Texas",25145561,28995881,0.0413851884686656,NA,0.021185275049436,NA,NA,2020-03-14
"83","UT",20200314,6,0,0,6,0,131,0,0,NA,"Utah",2763885,3205958,0,0,0.0222799460967896,0.0311919245355055,100,2020-03-14
"84","WY",20200314,2,1,1,2,1,NA,NA,NA,NA,"Wyoming",563626,578759,0.172783490191945,NA,0.0493667114834129,NA,NA,2020-03-14
"85","KS",20200315,8,2,2,NA,2,135,42,44,4.54545454545455,"Kansas",2853118,2913314,0.0686503411578704,1.51030750547315,0.0343251705789352,0.642371049405787,21.6498316498317,2020-03-15
"86","NE",20200315,17,3,3,NA,3,80,0,3,100,"Nebraska",1826341,1934408,0.155086207253072,0.155086207253072,0.118160919811864,0.583419541571079,60.3831006086645,2020-03-15
"87","NM",20200315,13,3,3,NA,3,482,245,248,1.20967741935484,"New Mexico",2059179,2096829,0.143073183364023,11.8273831580925,0.0885691135110616,3.04541490303419,4.40750493745885,2020-03-15
"88","OK",20200315,9,5,5,NA,5,118,82,87,5.74712643678161,"Oklahoma",3751351,3956971,0.126359278346998,2.19865144323777,0.0288821207650282,0.426011281284166,30.698145245559,2020-03-15
"89","CO",20200315,131,30,30,NA,30,627,17,47,63.8297872340426,"Colorado",5029196,5758736,0.520947652401499,0.816151322095682,0.305126482120878,1.60253420691128,23.9164212329453,2020-03-15
"90","AZ",20200315,12,0,0,NA,0,121,0,0,NA,"Arizona",6392017,7278717,0,0,0.0137386849907752,0.164864219889302,9.95454545454545,2020-03-15
"91","TX",20200315,56,5,5,56,5,NA,NA,NA,NA,"Texas",25145561,28995881,0.0172438285286107,NA,0.0236486791249518,NA,NA,2020-03-15
"92","UT",20200315,28,22,22,28,22,131,0,22,100,"Utah",2763885,3205958,0.68622233978112,0.68622233978112,0.120311708922664,0.249535396284044,100,2020-03-15
"93","WY",20200315,3,1,1,2,0,NA,NA,NA,NA,"Wyoming",563626,578759,0.172783490191945,NA,0.0740500672251194,NA,NA,2020-03-15
"94","KS",20200316,11,3,3,NA,3,166,31,34,8.82352941176471,"Kansas",2853118,2913314,0.102975511736806,1.1670557996838,0.0490359579699074,0.809093306503472,19.5121146101538,2020-03-16
"95","NE",20200316,18,1,1,NA,1,170,90,91,1.0989010989011,"Nebraska",1826341,1934408,0.0516954024176906,4.70428162000984,0.110775862323623,1.10037356574799,59.179542262249,2020-03-16
"96","NM",20200316,17,4,4,NA,4,566,84,88,4.54545454545455,"New Mexico",2059179,2096829,0.190764244485363,4.19681337867799,0.115821148437542,3.58364259283218,5.0568555868095,2020-03-16
"97","OK",20200316,10,1,1,NA,1,174,56,57,1.75438596491228,"Oklahoma",3751351,3956971,0.0252718556693996,1.44049577315578,0.0324923858606567,0.631796391734991,24.9093933894297,2020-03-16
"98","CO",20200316,131,0,0,NA,0,627,0,0,NA,"Colorado",5029196,5758736,0,0,0.302645779014204,1.52811311371106,27.3469358828806,2020-03-16
"99","AZ",20200316,18,6,6,NA,6,125,4,10,60,"Arizona",6392017,7278717,0.082432109944651,0.137386849907752,0.0255147006971539,0.184490912733266,18.2954545454545,2020-03-16
"100","TX",20200316,57,1,1,57,1,NA,NA,NA,NA,"Texas",25145561,28995881,0.00344876570572213,NA,0.0221706366796423,NA,NA,2020-03-16
"101","UT",20200316,39,11,11,39,11,131,0,11,100,"Utah",2763885,3205958,0.34311116989056,0.34311116989056,0.169327590335601,0.272929339685673,100,2020-03-16
"102","WY",20200316,3,0,0,3,1,NA,NA,NA,NA,"Wyoming",563626,578759,0,NA,0.0740500672251194,NA,NA,2020-03-16
"103","KS",20200317,15,4,4,NA,4,382,216,220,1.81818181818182,"Kansas",2853118,2913314,0.137300682315741,7.55153752736574,0.0686503411578704,1.85846280705949,19.8151449131841,2020-03-17
"104","NE",20200317,21,3,3,NA,3,206,36,39,7.69230769230769,"Nebraska",1826341,1934408,0.155086207253072,2.01612069428993,0.132931034788347,1.30715517541875,60.2784433611501,2020-03-17
"105","NM",20200317,23,6,6,NA,6,1249,683,689,0.870827285921626,"New Mexico",2059179,2096829,0.286146366728045,32.8591411126038,0.156699200827263,8.196049504139,5.18125948479831,2020-03-17
"106","OK",20200317,17,7,7,NA,7,247,73,80,8.75,"Oklahoma",3751351,3956971,0.176902989685798,2.02174845355197,0.0541539764344278,0.891735478620245,24.1593933894297,2020-03-17
"107","CO",20200317,160,29,29,NA,29,1056,429,458,6.33187772925764,"Colorado",5029196,5758736,0.503582730654783,7.95313415999622,0.367144059787723,2.63450669928758,24.2355821710902,2020-03-17
"108","AZ",20200317,20,2,2,NA,2,142,17,19,10.5263157894737,"Arizona",6392017,7278717,0.0274773699815503,0.261035014824728,0.0274773699815503,0.206080274861627,17.9665071770335,2020-03-17
"109","TX",20200317,64,7,7,64,7,1204,NA,NA,NA,"Texas",25145561,28995881,0.0241413599400549,NA,0.0251267215702613,NA,NA,2020-03-17
"110","WY",20200317,10,7,7,3,0,95,NA,NA,NA,"Wyoming",563626,578759,1.20948443134362,NA,0.246833557417065,NA,NA,2020-03-17
"111","UT",20200317,51,12,12,51,12,131,0,12,100,"Utah",2763885,3205958,0.374303094426065,0.374303094426065,0.218343471748538,0.293204090633751,100,2020-03-17
"112","KS",20200318,16,1,1,NA,1,417,35,36,2.77777777777778,"Kansas",2853118,2913314,0.0343251705789352,1.23570614084167,0.0735539369548611,1.91730595662338,20.2781078761471,2020-03-18
"113","NE",20200318,24,3,3,NA,3,206,0,3,100,"Nebraska",1826341,1934408,0.155086207253072,0.155086207253072,0.140316092276589,1.31454023290699,60.2784433611501,2020-03-18
