Cases in Last 7 Days by State/Territory
Date generated: Tue Sep 01 2020 13:02:53 GMT-0600 (Mountain Daylight Time)

State/Territory,Cases in Last 7 Days
California,35470
Texas,32585
Florida,20118
Georgia,14218
Illinois,13518
North Carolina,10917
Tennessee,10329
Alabama,9348
Missouri,8753
Iowa,8192
Ohio,7506
Virginia,6979
Indiana,6604
South Carolina,6441
Oklahoma,6020
Michigan,5339
Louisiana,5328
Mississippi,5179
Minnesota,5157
Wisconsin,4949
Pennsylvania,4551
Kentucky,4497
Arkansas,4330
Kansas,4211
Maryland,3817
Arizona,3421
Washington,3264
Nevada,3209
Utah,2739
New York,2708
Puerto Rico,2701
Massachusetts,2363
New Jersey,2241
Nebraska,2240
South Dakota,2084
Colorado,2083
Idaho,2018
North Dakota,1771
New York City,1740
Hawaii,1567
Oregon,1558
West Virginia,938
New Mexico,883
Montana,870
Connecticut,868
Delaware,696
Rhode Island,647
Guam,463
Alaska,453
District of Columbia,353
Wyoming,239
Maine,180
New Hampshire,141
Virgin Islands,141
Vermont,63
Northern Mariana Islands,2
American Samoa,0
Federated States of Micronesia,0
Palau,0
Republic of Marshall Islands,0
