Total Cases by State/Territory
Date generated: Mon Aug 31 2020 16:45:31 GMT-0600 (Mountain Daylight Time)

State/Territory,Total Cases,Confirmed,Probable
California,699909,null,null
Florida,614753,null,null
Texas,610354,null,null
Georgia,268973,null,null
Illinois,235057,233355,1702
New York City,234969,230205,4764
Arizona,201661,199948,1713
New York,200131,null,null
New Jersey,191611,null,null
North Carolina,166127,null,null
Tennessee,153115,149469,3646
Louisiana,148568,null,null
Pennsylvania,133504,129703,3801
Massachusetts,127901,118483,9418
Alabama,125235,116456,8779
Ohio,122262,115806,6456
Virginia,120594,115334,5260
South Carolina,118324,116697,1627
Michigan,112526,102017,10509
Maryland,108249,null,null
Indiana,93313,null,null
Missouri,83655,null,null
Mississippi,82950,79165,3785
Wisconsin,80300,75337,4963
Minnesota,75864,null,null
Washington,74320,null,null
Nevada,69164,null,null
Iowa,64208,null,null
Oklahoma,63328,58020,5308
Arkansas,60856,null,null
Colorado,57223,53394,3829
Utah,52508,52063,445
Connecticut,52495,50387,2108
Kentucky,48032,43901,4131
Kansas,41048,39861,1187
Nebraska,34046,null,null
Puerto Rico,33199,15476,17723
Idaho,31867,29556,2311
Oregon,26554,25275,1279
New Mexico,25283,null,null
Rhode Island,21683,null,null
Delaware,17343,16346,997
District of Columbia,13959,null,null
South Dakota,13322,null,null
North Dakota,11816,null,null
West Virginia,10110,9928,182
Hawaii,7712,null,null
Montana,7340,7340,0
New Hampshire,7254,null,null
Alaska,5226,null,null
Maine,4526,4060,466
Wyoming,3820,3245,575
Vermont,1624,null,null
Guam,1395,null,null
Virgin Islands,1134,null,null
Northern Mariana Islands,56,56,0
American Samoa,0,null,null
Federated States of Micronesia,0,0,0
Palau,0,null,null
Republic of Marshall Islands,0,0,0
